brandid;brandname;discount
1105;A-Play;20
171;Abierta Fina;10
472;All Black;20
744;All Stars;20
1063;Alpha-Pro;20
542;American Bombshell;20
229;Andro Extender;0
1294;Aquatic;10
202;Asha International;0
937;Ass Thumpers;20
490;Autoblow 2;0
546;b-Vibe;0
135;Bad Kitty;10
1141;Bang!;20
1174;Bareskin;20
66;Bathmate;0
807;Be Wicked;20
1246;Be Wicked Swimwear;20
94;Big Boy;10
1168;Big Shot;20
278;Bijoux Indiscrets;0
22;Black Level;10
517;Black Velvets;10
543;Blewit;0
942;Bloom;20
1186;Blue Evolution;10
466;Blush;10
899;Body Extensions;20
240;Bodywand;0
1147;Boekenkast;0
697;Boners;20
939;Booty Sparks;20
825;BUTTR;20
492;CB-X;0
741;Clandestine;0
427;CleanStream;20
59;Close 2 you;10
1093;Cloud 9;20
92;Cobeco Pharma;10
1045;Cocksicle;20
93;Coolmann;10
21;Cottelli Collection;10
1282;Coup!es choice;10
829;Crisco;0
747;Crystal Jellies;20
878;Curve;20
1129;Cuties;0
70;Doc Johnson;20
322;Dona-by-Jo;0
457;Doreanse;20
493;Doxy;0
98;Durex;0
183;EasyGlide;20
471;Easytoys Anal Collection;20
498;Easytoys - Couples Collection;20
478;Easytoys Dildo Collection;20
477;Easytoys Fetish Collection;20
468;Easytoys - Geisha Collection;20
487;Easytoys Men Only;20
470;Easytoys - Mini Vibe Collection;20
533;Easytoys Online;20
469;Easytoys - Vibe Collection;20
467;Wand Collection;20
40;Empire Labs;0
465;ENVY;0
323;Ero by Hot;0
893;Excellent power;0
833;Exotiq;0
226;Eye Of Love;0
740;F-Machine;0
985;Femintimate;10
26;Fetish Collection;10
479;Fever;20
643;Fifty Shades of Grey Darker;0
773;Fifty Shades Freed;0
180;Fifty Shades of Grey;0
767;Fist It;10
32;Flutschi;10
702;FPPR.;20
804;Fredericks of Hollywood;0
924;Friend with Benefits;20
422;Frisky;20
528;Genie in a Bottle;20
257;Giant Family;10
710;Gildo;20
266;GLYDE;0
1180;Goddess Collection;10
1126;GoGasm;0
916;Good Vibes Only;20
424;GreyGasms;20
678;Guilty Pleasure;0
105;Gun Oil;0
847;Happy Rabbit;0
653;Heat;20
931;HEL;20
1003;High on Love;0
906;Horoscope;0
813;Hosed;20
495;HOT;0
770;HOT Bio;0
633;Hot Octopuss;0
844;Hyundai;0
574;Inmi;20
609;Inspire;0
537;Intimate;0
925;Intome;0
1021;INTT;0
1177;Istem;0
882;iVibe;20
902;Japanese Bondage;20
100;Javida;10
817;Jesse Jane;20
1165;Jock;20
67;Joydivision;0
626;JÜLIE;10
265;Just Glide;10
514;KamaSutra;0
686;Kheper Games;10
518;KINK;0
701;Kokos;20
875;KY Gel;0
1087;Lactacyd;0
831;LATEXWEAR;0
928;Le Frivole;20
692;Le Wand;0
117;Leg Avenue;0
65;LELO;0
629;HEX;0
1048;Liberator;0
881;Libido Power;0
44;Voedingssupplementen;0
496;Libidoforte;0
839;Lil'Vibe;20
1054;LingaDore;0
889;Loadz;20
1162;Lollicock;20
1066;London ;0
447;Lovebotz;20
723;Loveboxxx;0
351;Lovers Premium;0
894;LUV EGG;20
749;Main Squeeze;20
179;male;10
61;Male Edge;0
775;Mancage;10
31;Mandy mystery Line;10
269;Manix;0
612;Master Cock;20
170;Master Series;20
774;MAZE;0
903;MEIN KONDOM;0
182;Menzstuff;10
1192;Midnight Magic;10
1159;Mistress;20
898;Isabella Sinclaire;20
750;Mood;20
1078;Morningstar;0
895;MotorBunny;0
480;Musiclegs;20
248;My.Size;0
551;MyMagicWand;20
1270;Mysteryvibe;0
97;Mystim;0
1099;N1 up;0
1030;Naghi;10
867;Nalone;0
109;Nanma;10
39;Nature Skin;10
887;NEK;10
290;Nexus;0
689;njoy;0
502;Noir Handmade;10
679;NSNovelties;0
684;Nu Sensuelle;0
945;O-wand;0
959;Obsessive;0
140;Odeco;10
