productid;artnr;b2c;b2b;discount;your_price;ean;brandid;brandname;subartnr
7;ae214;67.95;41.90;20;33.52;848518017215;448;Raging Cock Stars;ae214
32;05097280000;19.95;9.90;10;8.91;4024144513727;23;You2Toys;05097280000
190;ae213;99.95;63.60;20;50.88;848518017222;448;Raging Cock Stars;ae213
199;ae198;69.95;44.30;20;35.44;848518017017;448;Raging Cock Stars;ae198
201;46801;77.95;39.80;0;39.80;4260152468011;97;Mystim;46801
207;8127554;5.95;3.70;0;3.70;5410036100691;98;Durex;8127554
208;8127402;11.95;6.60;0;6.60;5410036100707;98;Durex;8127402
211;1779-BLACK-S;12.95;7.15;20;5.72;8697694204740;457;Doreanse;1779-BLACK-S
212;1779-WHITE-S;12.95;7.15;20;5.72;8697694204696;457;Doreanse;1779-WHITE-S
213;2820-BLACK-S;22.95;11.72;0;4.80;8697694301630;457;Doreanse;2820-BLACK-S
214;1331-WHITE-S;12.95;5.92;20;4.74;8697694062111;457;Doreanse;1331-WHITE-S
215;1395-BLACK-S;12.95;6.74;20;5.39;8697694001455;457;Doreanse;1395-BLACK-S
216;1331-BLACK-S;12.95;5.92;20;4.74;8697694062166;457;Doreanse;1331-BLACK-S
217;1366-BLACK-S;9.95;5.39;20;4.31;8697694155417;457;Doreanse;1366-BLACK-S
218;1590-BLACK-S;17.95;9.17;0;3.80;8697694207956;457;Doreanse;1590-BLACK-S
219;1566-BLACK-S;17.95;9.02;20;7.22;8697694206454;457;Doreanse;1566-BLACK-S
220;1367-BLACK-S;12.95;7.00;20;5.60;8697694062012;457;Doreanse;1367-BLACK-S
227;ae187;14.95;9.30;20;7.44;848518016966;422;Frisky;ae187
234;ae285;57.95;35.40;20;28.32;848518017925;422;Frisky;ae285
237;ae178;19.95;13.10;20;10.48;848518016874;424;GreyGasms;ae178
239;ad977;82.95;52.20;20;41.76;848518015853;447;Lovebotz;ad977
240;ae313;189.95;121.40;20;97.12;848518018182;447;Lovebotz;ae313
241;06131930000;12.95;4.80;0;4.80;4042342002799;495;HOT;06131930000
245;008871;14.95;7.97;0;7.97;699439008871;262;Swiss Navy;008871
247;1280-RED-S;7.95;4.45;20;3.56;8697694103890;457;Doreanse;1280-RED-S
248;1280-NAVY-S;7.95;4.45;20;3.56;8697694101186;457;Doreanse;1280-NAVY-S
251;1280-BLACK-S;7.95;4.45;20;3.56;8697694101131;457;Doreanse;1280-BLACK-S
253;135331;12.95;5.77;0;5.77;699439000462;262;Swiss Navy;135331
257;05108660000;5.95;2.42;0;2.42;4024144518111;23;You2Toys;05108660000
292;0515213;17.95;9.60;10;8.64;4890888117213;91;Seven Creations;0515213
293;05227240000;27.95;14.38;10;12.94;4024144522729;91;Seven Creations;05227240000
296;05113820000;19.95;10.50;10;9.45;4024144511389;23;You2Toys;05113820000
303;0559261;52.95;26.50;10;23.85;4890888115844;91;Seven Creations;0559261
325;0511641;9.95;4.90;10;4.41;4024144511648;23;You2Toys;0511641
337;05231350000;24.95;12.50;10;11.25;4024144523139;23;You2Toys;05231350000
339;560936;54.95;27.90;10;25.11;4024144560936;23;You2Toys;560936
342;0556777;12.95;6.70;10;6.03;4024144556779;23;You2Toys;0556777
352;0514586;34.95;17.50;10;15.75;4024144514588;23;You2Toys;0514586
353;0521558;32.95;16.50;10;14.85;4024144521555;23;You2Toys;0521558
354;0511250;14.95;7.90;10;7.11;4024144511259;23;You2Toys;0511250
357;0560693;319.00;231.00;0;231.00;4024144560691;23;You2Toys;0560693
368;05552740000;24.95;12.90;10;11.61;4024144555277;23;You2Toys;05552740000
370;05603750000;19.95;9.90;10;8.91;4024144560370;23;You2Toys;05603750000
383;522732;32.95;16.50;10;14.85;4892503050653;23;You2Toys;522732
396;05586640000;72.95;37.90;10;34.11;4024144558667;23;You2Toys;05586640000
418;620289;17.95;8.90;10;8.01;4024144620289;23;You2Toys;620289
419;06206880000;9.95;4.90;10;4.41;4024144620685;23;You2Toys;06206880000
425;02559710000;72.95;35.90;10;32.31;4024144255979;24;Zado;02559710000
438;525499;24.95;12.50;10;11.25;4024144525492;23;You2Toys;525499
448;06176870000;12.95;4.60;0;4.60;4042342001501;495;HOT;06176870000
451;620084;17.95;8.50;10;7.65;4024144620081;23;You2Toys;620084
453;05113150000;32.95;15.90;10;14.31;4024144511310;23;You2Toys;05113150000
463;770400;2.95;2.00;10;1.80;4024144770403;23;You2Toys;770400
469;05223250000;24.95;12.90;10;11.61;4892305045222;23;You2Toys;05223250000
470;521655;12.95;6.90;10;6.21;4890888111969;91;Seven Creations;521655
480;525219;22.95;11.50;10;10.35;4024144525218;23;You2Toys;525219
491;551082;27.95;13.50;10;12.15;4024144551088;23;You2Toys;551082
505;05606420000;44.95;23.50;10;21.15;4024144560646;23;You2Toys;05606420000
513;521442;37.95;19.50;10;17.55;4024144521449;23;You2Toys;521442
519;05541380000;32.95;15.90;10;14.31;4890888071997;91;Seven Creations;05541380000
520;526185;12.95;6.50;10;5.85;4890888113826;91;Seven Creations;526185
524;05201280000;14.95;7.50;10;6.75;4024144520121;23;You2Toys;05201280000
536;05503530000;32.95;16.50;10;14.85;4024144550357;23;You2Toys;05503530000
541;06203350000;9.95;5.90;10;5.31;4024144620333;32;Flutschi;06203350000
542;520160;17.95;9.50;10;8.55;4024144520169;23;You2Toys;520160
543;610330;12.95;6.50;10;5.85;4024144610334;23;You2Toys;610330
545;510262;42.95;21.50;10;19.35;4024144510269;23;You2Toys;510262
548;05561810000;44.95;23.50;10;21.15;4024144556182;23;You2Toys;05561810000
572;02511350000;62.95;31.90;10;28.71;4024144251131;23;You2Toys;02511350000
580;260541;17.95;9.90;10;8.91;4024144260546;31;Mandy mystery Line;260541
605;230049;12.95;7.50;10;6.75;4024144230044;31;Mandy mystery Line;02300490000
615;02041700000;17.95;9.70;10;8.73;4024144204175;31;Mandy mystery Line;02041700000
645;02504650000;32.95;15.50;10;13.95;4024144250462;25;The Latex Collection;02504650000
647;06309770000;4.95;2.20;10;1.98;4024144630974;23;You2Toys;06309770000
683;07752740000;9.95;4.90;10;4.41;4024144775279;23;You2Toys;07752740000
713;05594820000;44.95;23.30;10;20.97;4024144559480;23;You2Toys;05594820000
717;05222280000;12.95;6.50;10;5.85;4024144522224;23;You2Toys;05222280000
724;05205940000;17.95;8.80;10;7.92;4024144520596;23;You2Toys;05205940000
734;07758270000;9.95;5.20;10;4.68;5022782333966;23;You2Toys;07758270000
735;07758350000;9.95;5.20;10;4.68;5022782333973;23;You2Toys;07758350000
742;05252780000;24.95;12.50;10;11.25;4024144525270;23;You2Toys;05252780000
792;0082-00;44.95;21.54;0;21.54;763290085316;40;Empire Labs;0082-00
825;551783;17.95;8.90;10;8.01;4024144551781;23;You2Toys;551783
849;560731;29.95;14.90;10;13.41;4892503050219;23;You2Toys;560731
851;560383;19.95;10.30;10;9.27;4892503050646;23;You2Toys;560383
852;560685;14.95;7.50;10;6.75;4024144560684;91;Seven Creations;560685
853;559156;42.95;21.90;10;19.71;8709641011261;23;You2Toys;559156
864;559938;17.95;8.50;10;7.65;4024144559930;23;You2Toys;559938
880;05508500000;14.95;7.50;10;6.75;4024144550852;23;You2Toys;05508500000
885;05235260000;19.95;10.50;10;9.45;4024144523528;23;You2Toys;05235260000
916;562602;22.95;11.50;10;10.35;4897042500485;91;Seven Creations;562602
995;05516600000;27.95;13.50;10;12.15;4024144551668;23;You2Toys;05516600000
996;523054;34.95;17.50;10;15.75;4024144523054;23;You2Toys;523054
1014;550442;19.95;10.50;10;9.45;4024144550449;23;You2Toys;550442
1015;562319;12.95;6.50;10;5.85;4024144562312;23;You2Toys;562319
1016;562181;54.95;28.50;10;25.65;4024144562183;23;You2Toys;562181
1020;230901;12.95;7.50;10;6.75;4024144230907;31;Mandy mystery Line;230901
1125;02560050000;99.95;49.90;10;44.91;4024144256006;24;Zado;02560050000
1126;24901881101;12.95;7.50;10;6.75;4024144031450;31;Mandy mystery Line;24901881101
1141;526851;19.95;10.20;10;9.18;4024144526857;33;Sextreme;526851
1154;521639;7.95;3.50;10;3.15;4024144521630;23;You2Toys;521639
1221;05613710000;12.95;6.50;10;5.85;4024144561377;23;You2Toys;05613710000
1223;02505110000;34.95;17.90;10;16.11;4024144250516;23;You2Toys;02505110000
1224;02522040000;14.95;7.50;10;6.75;4024144252206;23;You2Toys;02522040000
1258;558222;12.95;6.70;10;6.03;4024144558223;23;You2Toys;558222
1297;560391;7.95;3.50;10;3.15;4024144560394;23;You2Toys;560391
1299;617741;12.95;4.45;0;4.45;827160100278;29;Pjur;617741
1301;617903;14.95;5.73;0;5.73;827160106270;29;Pjur;617903
1302;617750;12.95;4.45;0;4.45;827160100346;29;Pjur;617750
1306;05237800000;12.95;6.90;10;6.21;4892503063592;23;You2Toys;05237800000
1316;556599;19.95;9.80;10;8.82;4890888112409;91;Seven Creations;556599
1328;551333;17.95;8.50;10;7.65;4024144551330;23;You2Toys;551333
1329;550639;17.95;8.50;10;7.65;4024144550630;23;You2Toys;550639
1331;520675;39.95;20.90;10;18.81;4024144520671;23;You2Toys;520675
1338;514640;27.95;14.20;10;12.78;4892503046601;23;You2Toys;514640
1340;514632;32.95;15.90;10;14.31;4892503046625;23;You2Toys;514632
1360;523771;12.95;6.90;10;6.21;4892503063523;23;You2Toys;523771
1375;522902;14.95;7.90;10;7.11;4024144522903;23;You2Toys;522902
1379;562670;44.95;23.50;10;21.15;4024144562671;23;You2Toys;562670
1389;515841;59.95;30.90;10;27.81;4024144515844;23;You2Toys;515841
1395;559474;19.95;9.90;10;8.91;4024144559473;23;You2Toys;559474
