artnr;date;new_price;type;discount
IS117;2020-08-20;59.95;b2b;Y
IS109;2020-08-20;32.95;b2b;Y
IS108;2020-08-20;61.95;b2b;Y
IS105;2020-08-20;34.95;b2b;Y
IS104;2020-08-20;59.95;b2b;Y
IS103;2020-08-20;42.95;b2b;Y
IS101;2020-08-20;27.50;b2b;Y
de720;2020-08-20;39.95;b2b;Y
AF812;2020-08-20;59.95;b2b;Y
AF811;2020-08-20;59.95;b2b;Y
AF637;2020-08-20;49.95;b2b;Y
AF616;2020-08-20;62.95;b2b;Y
AF615;2020-08-20;49.95;b2b;Y
AF584;2020-08-20;659.90;b2b;Y
AF446;2020-08-20;299.80;b2b;Y
AF127;2020-08-20;998.50;b2b;Y
AF369;2020-08-20;29.95;b2c;Y
AF369;2020-08-20;14.95;b2b;Y
SV003BLK;2020-08-20;59.95;b2c;Y
SV003BLK;2020-08-20;35.00;b2b;Y
SV002BLK;2020-08-20;69.95;b2c;Y
SV002BLK;2020-08-20;40.00;b2b;Y
SV001BLK;2020-08-20;69.95;b2c;Y
SV001BLK;2020-08-20;40.00;b2b;Y
cb6000s-wood;2020-08-19;65.00;b2b;N
CB-6000S-PNK;2020-08-19;65.00;b2b;N
CB-6000S-GLD;2020-08-19;65.00;b2b;N
cb-6000-gld;2020-08-19;65.00;b2b;N
133928;2020-08-19;65.00;b2b;N
133927;2020-08-19;65.00;b2b;N
133926;2020-08-19;65.00;b2b;N
133925;2020-08-19;65.00;b2b;N
133924;2020-08-19;65.00;b2b;N
133923;2020-08-19;65.00;b2b;N
133922;2020-08-19;65.00;b2b;N
133921;2020-08-19;65.00;b2b;N
cb-3000-pnk;2020-08-19;65.00;b2b;N
6000SCAMO;2020-08-19;65.00;b2b;N
6000PNK;2020-08-19;65.00;b2b;N
3000RD;2020-08-19;65.00;b2b;N
dxtfel10;2020-08-18;14.95;b2c;Y
dxtfel10;2020-08-18;9.90;b2b;Y
dxtfet10;2020-08-18;14.95;b2c;Y
dxtfet10;2020-08-18;9.90;b2b;Y
dxperf10;2020-08-18;14.95;b2c;Y
dxperf10;2020-08-18;9.90;b2b;Y
dxrf20;2020-08-18;29.95;b2c;Y
dxrf20;2020-08-18;19.90;b2b;Y
dxtf20;2020-08-18;24.95;b2c;Y
dxtf20;2020-08-18;13.90;b2b;Y
dxtf12;2020-08-18;14.95;b2c;Y
dxtf12;2020-08-18;9.90;b2b;Y
SV003BLK;2020-08-18;79.95;b2c;Y
SV003BLK;2020-08-18;49.90;b2b;Y
SV002BLK;2020-08-18;79.95;b2c;Y
SV002BLK;2020-08-18;49.90;b2b;Y
SV001BLK;2020-08-18;79.95;b2c;Y
SV001BLK;2020-08-18;49.90;b2b;Y
SV003BLK;2020-08-18;57.95;b2c;Y
SV003BLK;2020-08-18;36.80;b2b;Y
SV002BLK;2020-08-18;67.95;b2c;Y
SV002BLK;2020-08-18;42.50;b2b;Y
SV001BLK;2020-08-18;67.95;b2c;Y
SV001BLK;2020-08-18;42.50;b2b;Y
21504091701;2020-08-13;62.95;b2c;N
21504091701;2020-08-13;31.40;b2b;N
05785680000;2020-08-13;9.80;b2b;Y
05785680000;2020-08-13;19.95;b2c;Y
05014680000;2020-08-13;22.95;b2c;Y
05014680000;2020-08-13;11.20;b2b;Y
05073420000;2020-08-13;17.95;b2c;Y
05073420000;2020-08-13;9.40;b2b;Y
05215740000;2020-08-13;9.95;b2c;Y
05215740000;2020-08-13;5.30;b2b;Y
05168560000;2020-08-13;29.95;b2c;Y
05168560000;2020-08-13;14.80;b2b;Y
05104240000;2020-08-13;17.95;b2c;Y
05104240000;2020-08-13;8.90;b2b;Y
06232700000;2020-08-13;32.95;b2c;Y
06232700000;2020-08-13;17.90;b2b;Y
23201501101;2020-08-13;7.95;b2c;Y
23201501101;2020-08-13;4.40;b2b;Y
610330;2020-08-13;6.50;b2b;Y
563382;2020-08-13;29.20;b2b;Y
